recency,frequency,monetary,customersegment
257,1,88.2,0
54,6,989.88,2
24,4,625.42,1
154,2,622.85,0
11,5,2134.3,2
10,11,2462.79,2
275,1,333.08,0
10,6,1624.59,2
220,1,534.24,0
37,6,1016.14,2
82,1,675.3,1
2,3,528.33,1
12,6,1114.63,2
159,1,383.85,0
18,1,75.0,1
16,10,1539.71,2
72,1,513.2,1
52,1,1193.32,1
33,3,980.31,1
13,4,699.81,1
52,1,125.79,1
23,1,171.19,1
86,3,1030.14,1
58,4,501.56,1
15,1,280.09000000000003,1
113,1,138.98,1
29,1,266.76,1
242,3,1259.24,0
36,3,1290.53,1
4,17,4119.5,6
157,1,642.02,0
50,1,56.16,1
323,1,94.36,0
5,36,11026.76,6
47,1,110.21,1
9,4,982.26,1
19,6,939.32,2
50,2,290.25,1
44,2,712.5,1
169,5,1046.06,0
257,1,174.8,0
67,1,426.63,1
44,3,1620.94,1
239,2,1345.62,0
29,5,1087.44,1
16,5,807.8100000000001,1
116,4,1641.76,2
326,1,201.16,0
47,1,731.5,1
9,13,3189.46,5
6,2,664.11,1
12,1,294.85,1
3,3,648.26,1
1,6,872.62,2
65,1,202.27,1
4,19,4154.08,6
5,11,2572.83,2
2,6,1442.27,2
217,1,199.85,0
2,6,1591.79,2
4,2,178.96,1
73,4,446.18,1
7,2,52.2,1
26,12,8035.72,6
64,3,1174.35,1
52,8,2717.98,2
4,22,17329.52,6
3,7,1616.8,2
12,9,3311.92,2
30,6,2193.06,2
4,16,2045.53,5
8,3,331.45,1
289,1,101.7,0
120,4,1340.7,1
12,3,1067.75,1
267,1,251.52,0
97,5,1223.68,2
1,128,12518.95,6
37,1,151.05,1
236,1,406.48,0
79,8,792.23,2
89,5,2262.62,2
26,1,680.84,1
9,4,689.1,1
40,1,396.33,1
7,2,363.33,1
80,6,1943.76,2
126,5,2097.84,2
3,9,1367.71,2
64,5,2637.2,2
74,1,145.67000000000002,1
67,9,1774.29,2
207,1,357.98,0
58,1,355.56,1
11,3,704.96,1
20,3,457.34,1
12,7,1801.52,2
19,2,759.17,1
185,1,294.24,0
26,2,1247.61,1
101,2,498.42,1
4,6,1427.29,2
14,2,2906.85,2
39,1,108.98,1
25,3,529.29,1
37,3,646.3,1
43,17,10209.32,6
209,1,112.8,0
89,4,1168.0,1
95,4,854.95,1
15,3,450.41,1
4,6,2820.0,2
4,9,2086.93,2
36,1,183.76,1
74,1,104.35,1
19,1,327.3,1
88,7,1048.48,2
39,9,3637.97,2
17,17,4169.34,6
210,1,519.68,0
3,19,6993.71,6
71,1,243.56,1
11,3,2720.63,2
34,5,1794.98,2
204,1,349.55,0
54,1,135.99,1
235,2,252.49,0
21,3,348.36,1
39,76,108532.99,6
67,1,890.85,1
105,4,1887.2,2
151,3,1080.98,0
40,2,1399.92,1
125,2,465.68,1
120,2,254.1,1
108,2,122.14,1
170,3,719.01,0
11,2,314.69,1
64,1,295.93,1
64,2,756.39,1
2,23,13767.27,6
12,5,900.53,1
61,1,1743.15,1
3,26,10148.94,6
41,3,895.13,1
52,8,3016.64,2
33,2,265.76,1
109,4,1659.75,2
8,7,2283.63,2
37,5,1219.4,2
104,4,618.09,1
143,2,343.2300000000001,0
71,1,743.53,1
28,7,2609.1,2
74,3,657.8,1
120,4,397.5,1
65,1,93.82,1
9,4,316.21,1
235,4,349.11,0
30,1,349.83000000000004,1
1,20,4446.55,6
4,3,950.05,1
178,3,711.79,0
85,6,1090.93,2
3,6,2047.93,2
38,5,1098.43,1
165,3,1340.66,0
203,2,1265.37,0
40,3,1074.81,1
331,1,226.37,0
18,4,594.8100000000001,1
46,4,551.42,1
55,2,447.68,1
25,23,30575.88,6
43,7,725.64,2
127,1,168.31,1
2,3,1843.0,2
36,6,1324.68,2
43,1,169.48000000000002,1
4,11,2529.89,2
184,1,213.7,0
192,2,343.44,0
33,14,6120.32,6
11,17,6807.76,6
5,3,942.26,1
2,6,2621.38,2
82,3,854.19,1
245,1,104.9,0
10,4,3679.35,2
30,6,1929.02,2
17,3,292.0,1
45,3,62.43,1
254,1,307.53,0
1,41,26205.97,6
73,7,1846.53,2
5,8,1151.43,2
315,2,2249.1,0
4,12,1535.77,5
260,1,40.5,0
6,3,430.15,1
10,5,1472.34,2
36,4,1227.43,1
174,2,460.59,0
62,1,283.18,1
148,2,554.38,0
4,2,716.57,1
4,10,2114.73,2
18,7,2026.72,2
227,3,340.56,0
16,2,93.43,1
331,1,155.17,0
50,1,240.55,1
42,1,318.15,1
11,5,851.5,1
4,89,11449.56,6
33,12,2803.11,5
1,41,20650.46,6
127,1,300.36,1
30,2,1873.2,1
50,4,1425.67,1
31,2,703.36,1
74,12,5348.33,6
61,7,2413.02,2
85,2,266.85,1
120,2,595.67,1
120,3,1341.65,1
52,3,804.3,1
75,2,643.76,1
26,4,5415.43,4
214,9,662.27,2
79,1,964.83,1
305,1,155.05,0
179,1,98.25,0
52,10,1215.82,2
32,7,1415.65,2
19,7,766.54,2
141,3,207.74,1
31,2,629.31,1
35,2,94.2,1
4,2,1068.87,1
74,1,74.9,1
253,2,258.25,0
157,1,160.42000000000002,0
46,2,553.36,1
3,5,1736.4,2
10,8,1660.88,2
148,2,1063.46,0
216,1,312.28,0
226,1,160.95,0
13,7,1328.35,2
277,1,391.52,0
43,2,657.3,1
132,1,765.3199999999999,1
22,3,289.74,1
2,8,2164.95,2
95,7,3109.33,2
30,1,20.8,1
37,4,36.56,1
35,3,798.74,1
64,2,272.07,1
14,7,3408.06,2
15,8,5983.56,4
11,11,5756.89,4
2,14,4709.51,6
18,2,304.47,1
47,3,1181.5,1
8,2,657.16,1
64,6,1239.02,2
29,1,352.98,1
9,14,5061.34,6
9,4,881.0600000000001,1
36,6,739.85,1
298,1,821.1,0
50,11,2669.84,2
40,1,144.36,1
205,2,216.5,0
128,1,208.65,1
134,2,408.36,1
201,1,326.4,0
3,10,2833.69,2
23,1,444.68,1
8,9,1872.23,2
63,9,4481.09,4
35,5,496.56,1
61,5,1805.45,2
11,2,385.1,1
23,11,9687.62,4
11,2,866.24,1
18,6,1905.96,2
253,1,257.23,0
247,3,1038.44,0
1,10,2367.12,2
10,4,1127.71,1
80,19,2880.7999999999997,5
174,1,178.51999999999998,0
95,2,911.94,1
18,5,858.17,1
9,3,202.11,1
51,1,1393.06,1
158,3,559.78,0
22,2,490.22,1
306,1,108.07,0
78,2,1281.42,1
3,4,942.34,1
11,6,1626.76,2
262,1,25.5,0
32,1,603.75,1
41,11,2085.33,2
138,3,881.07,1
73,6,1770.34,2
297,1,173.05,0
90,16,6127.76,6
107,1,51.559999999999995,1
23,12,5806.19,6
107,2,413.2,1
25,8,3002.6,2
66,1,111.68,1
46,1,498.74,1
21,3,403.7000000000001,1
20,14,2549.48,5
20,2,470.76,1
82,3,257.72,1
158,1,101.1,0
79,11,1545.24,2
107,2,558.07,1
288,1,296.25,0
18,3,1264.7,1
4,1,680.99,1
27,4,632.97,1
325,2,64.25,0
302,35,5478.9400000000005,6
18,16,3656.75,5
51,2,218.55,1
1,15,6535.2,6
326,1,440.0,0
3,11,5720.2300000000005,4
2,19,5006.16,6
4,5,725.07,1
75,1,400.681,1
78,4,1566.28,2
75,2,322.26,1
134,2,51.0,1
73,3,1893.04,2
4,18,2782.35,5
164,2,508.8,0
3,2,885.47,1
1,223,37700.82,6
174,3,558.45,0
179,5,1029.36,0
15,12,1255.03,5
3,1,314.44,1
143,1,599.68,0
177,1,76.5,0
13,2,675.64,1
157,2,420.07,0
256,2,1276.0,0
51,1,341.7,1
54,1,165.04999999999998,1
36,2,740.78,1
258,2,772.23,0
33,2,148.44,1
110,1,52.0,1
2,12,3515.71,5
72,2,290.82,1
3,5,1558.16,2
3,29,5850.18,6
52,4,813.48,1
75,1,181.09,1
57,3,1178.56,1
1,5,1797.96,2
50,5,1824.23,2
58,4,848.64,1
278,1,180.6,0
287,1,264.7,0
22,6,962.39,2
7,20,9091.42,6
2,24,2084.6,5
225,2,93.35,0
157,3,734.13,0
33,3,1727.6,1
113,1,313.62,1
194,1,240.89,0
28,6,1035.8,2
27,4,646.42,1
22,21,8683.36,6
158,2,204.35,0
14,4,599.48,1
18,7,3204.1600000000003,2
11,1,336.40000000000003,1
30,2,333.42,1
198,2,292.01,0
206,1,1384.25,0
18,15,3221.8,5
21,5,666.72,1
9,13,4326.73,6
61,1,202.65,1
235,4,329.13,0
9,4,794.33,1
9,18,3857.0,6
11,1,247.32,1
65,2,583.75,1
201,1,178.39,0
176,3,674.45,0
226,3,1056.6,0
17,14,3136.47,5
273,1,108.21,0
238,2,514.15,0
313,2,435.39,0
3,16,4194.59,6
274,1,121.17000000000002,0
72,1,518.42,1
5,1,126.12,1
56,6,799.62,1
72,1,248.61,1
50,2,599.56,1
48,16,4435.19,6
3,5,1290.95,2
119,1,156.75,1
318,1,99.5,0
59,1,96.12,1
243,3,406.08,0
28,6,2519.55,2
16,13,2512.78,5
116,2,1610.15,1
8,4,627.13,1
98,3,529.62,1
16,16,15366.0,6
10,7,2489.33,2
98,4,4341.32,4
87,4,2445.91,2
8,27,6102.59,6
29,11,2929.94,2
53,1,188.88,1
32,2,463.21,1
28,1,191.04,1
57,2,312.54,1
326,1,107.45,0
15,4,2003.59,2
17,3,819.96,1
211,3,3256.051,2
94,1,64.0,1
25,1,346.12,1
61,1,166.03,1
19,2,229.05,1
76,1,272.22,1
292,1,505.82,0
15,14,4930.9400000000005,6
3,10,1490.96,2
223,2,217.9,0
26,2,289.99,1
149,2,626.77,0
206,2,637.61,0
57,2,638.0600000000001,1
2,27,6653.85,6
18,7,1795.62,2
5,10,2874.84,2
33,2,397.99,1
1,12,3882.48,6
1,2,984.57,1
18,1,161.67000000000002,1
78,5,4548.45,4
45,7,10736.48,4
18,10,3772.67,4
81,2,551.27,1
1,10,1793.85,2
5,3,737.7,1
269,2,944.1,0
23,6,916.64,2
233,1,73.5,0
21,3,866.31,1
305,1,141.92000000000002,0
151,3,274.56,0
115,4,635.86,1
7,1,538.46,1
174,2,289.36,0
113,3,339.44,1
10,2,763.28,1
3,2,274.15000000000003,1
66,2,714.42,1
52,6,3506.54,2
9,6,1793.17,2
147,1,358.56000000000006,0
133,2,814.0,1
267,1,152.55,0
2,7,4310.0,4
233,2,149.57999999999998,0
19,2,957.66,1
8,10,2718.64,2
5,4,457.6,1
234,1,383.95,0
20,3,1298.66,1
24,1,598.73,1
3,4,1839.3,2
21,4,937.14,1
16,7,1139.73,2
58,2,764.49,1
10,13,2590.31,5
32,3,1125.17,1
60,1,892.47,1
217,2,336.13,0
1,5,1952.45,2
22,7,1244.59,2
281,2,402.15,0
137,5,712.24,1
24,14,3187.55,5
2,10,2790.63,2
311,2,39.8,0
67,2,381.2,1
136,3,213.92,1
30,10,2760.56,2
7,3,1257.3,1
32,1,777.6,1
2,1,343.5,1
9,1,366.23,1
17,10,2630.52,2
32,3,3702.1,2
3,6,951.23,2
37,1,176.68,1
4,2,17.45,1
182,5,79183.5,4
38,2,389.27,1
18,6,1326.6,2
6,3,663.81,1
68,3,2511.69,2
46,8,1832.31,2
33,9,2934.5299999999997,2
6,15,3064.2200000000003,5
5,1,593.75,1
49,1,154.88,1
187,2,160.71,0
236,5,3072.3599999999997,2
2,1,150.61,1
16,2,537.48,1
43,4,572.6,1
50,3,731.9,1
8,6,2686.42,2
15,1,318.17,1
65,1,91.85,1
52,1,124.88,1
2,3,1468.02,1
3,2,417.77,1
167,3,1018.44,0
89,1,299.34000000000003,1
11,1,301.29,1
9,9,2040.21,2
36,1,524.14,1
9,2,168.24,1
162,1,127.1,0
81,9,901.2,2
38,14,2599.19,5
8,8,1368.94,2
16,8,2076.2,2
15,1,183.02,1
307,1,142.4,0
92,2,716.35,1
1,14,1906.76,5
313,1,112.75,0
12,2,330.03000000000003,1
113,4,2207.4,2
9,14,2472.58,5
39,2,310.46,1
17,3,1138.0,1
51,2,772.55,1
20,2,525.69,1
31,3,519.44,1
43,7,4582.64,4
16,5,1427.57,2
11,6,9137.52,4
319,1,585.0,0
166,3,811.45,0
15,1,49.8,1
46,4,1048.28,1
81,3,323.69,1
6,3,930.28,1
39,3,507.05,1
26,7,1049.06,2
12,4,656.61,1
51,3,330.03,1
1,4,1010.35,1
45,1,178.34,1
4,2,381.97,1
95,1,151.74,1
185,1,307.72,0
122,2,130.6,1
51,2,1081.13,1
23,13,4021.94,6
21,10,2861.48,2
10,3,6977.04,4
54,1,362.06,1
3,6,2427.32,2
236,3,515.87,0
280,2,392.86,0
16,11,4305.11,4
170,2,503.6,0
11,1,361.62,1
79,7,2278.76,2
1,2,252.49,1
99,2,165.0,1
3,5,806.24,1
26,3,572.56,1
4,10,2386.02,2
74,4,678.8100000000001,1
225,3,1271.6,0
2,2,270.6,1
32,2,383.03,1
15,2,500.42,1
174,3,429.2,0
8,10,4899.88,4
5,13,2633.85,5
113,6,1273.36,2
44,1,306.45,1
16,6,1776.03,2
3,11,2295.93,2
30,3,981.18,1
4,6,1414.21,2
17,4,745.06,1
26,1,114.14,1
19,1,186.01,1
26,1,615.49,1
90,1,378.64,1
25,6,1984.36,2
205,1,171.45,0
64,4,170.0,1
3,25,4769.0,6
40,3,1221.56,1
80,2,222.62,1
5,29,8458.75,6
85,4,847.09,1
17,2,364.72,1
208,1,1028.56,0
87,1,4314.72,4
22,13,3775.72,6
1,30,8588.35,6
26,1,106.56,1
11,6,1051.79,2
50,3,790.6,1
32,17,6981.64,6
34,1,230.51,1
203,3,255.12,0
264,1,320.62,0
44,1,239.41,1
9,10,2818.42,2
78,3,1744.76,1
17,13,2642.83,5
137,1,87.4,0
54,1,1077.74,1
21,3,1389.41,1
54,2,288.96999999999997,1
24,3,510.7,1
234,1,157.2,0
9,30,20278.79,6
44,1,221.97,1
19,4,710.21,1
2,4,1255.17,1
9,4,537.88,1
43,7,3406.7200000000003,2
23,9,13322.47,4
176,1,305.75,0
23,5,732.0699999999999,1
3,6,1410.59,2
213,1,311.3,0
330,1,534.57,0
247,2,398.6,0
145,1,417.38,0
18,6,1216.44,2
11,4,714.62,1
141,2,589.7,0
53,1,223.36,1
79,1,1862.0,1
46,15,8286.19,6
88,1,266.97,1
184,3,199.15,0
15,2,196.79,1
269,1,29.95,0
3,25,26994.74,6
22,4,1497.31,2
75,2,675.8,1
9,13,1914.31,5
266,1,344.90000000000003,0
30,2,1316.07,1
114,6,6912.0,4
9,36,19015.98,6
48,1,490.52,1
9,18,5646.33,6
4,1,312.62,1
134,1,375.0,0
2,12,9070.76,6
31,15,2504.13,5
10,1,170.16,1
234,1,101.19,0
10,3,1095.42,1
40,1,507.66,1
154,3,542.22,0
277,2,149.64,0
74,2,534.24,1
9,5,1481.92,2
156,12,7657.740000000001,6
1,43,32367.28,6
155,2,494.88,0
25,3,271.40000000000003,1
11,21,33935.4,6
11,1,1162.65,1
25,1,655.58,1
43,1,236.09,1
33,4,1187.66,1
166,2,356.97999999999996,0
127,2,621.23,1
236,1,226.84,0
35,3,778.73,1
71,1,451.44,1
46,2,1021.48,1
297,1,1784.71,0
12,14,4003.33,6
16,8,5074.09,4
183,1,161.38,0
191,4,1473.21,0
60,7,1144.12,2
299,1,889.24,0
282,1,207.50000000000003,0
72,4,6617.65,4
12,23,6409.42,6
124,6,1175.38,2
109,8,3717.35,2
47,6,1611.59,2
114,13,3872.9,6
32,3,566.58,1
203,1,585.12,0
79,7,919.26,2
96,3,803.5600000000001,1
158,1,289.96000000000004,0
101,1,211.89,1
152,2,282.59999999999997,0
36,9,2358.59,2
23,2,208.2,1
34,1,210.31,1
51,2,618.27,1
130,3,1685.46,1
8,14,4924.53,6
8,4,294.25,1
12,2,302.1,1
94,4,1037.59,1
22,2,126.25,1
100,3,1200.62,1
16,15,6196.2,6
82,5,603.47,1
270,1,170.75,0
109,3,1405.78,1
185,1,198.57,0
143,2,333.6,0
23,14,2684.78,5
204,3,432.28,0
294,1,34.0,0
51,1,443.6,1
11,5,1530.75,2
5,4,1402.59,1
5,9,3825.29,4
151,2,1506.12,0
294,2,124.6,0
66,6,1453.16,2
58,12,2808.68,5
57,1,300.85,1
47,1,211.88,1
76,3,541.9399999999999,1
18,4,596.26,1
24,4,608.78,1
65,1,133.06,1
215,2,457.81,0
4,20,8732.05,6
55,2,304.24,1
78,1,773.03,1
3,4,1046.56,1
2,19,13110.02,6
323,2,586.89,0
25,1,465.88,1
283,3,434.59,0
35,3,1536.26,1
327,1,165.0,0
10,5,1656.02,2
8,22,3729.73,5
40,1,197.71,1
17,7,1863.34,2
214,4,394.47,0
25,2,288.91,1
41,5,680.1800000000001,1
81,3,523.0,1
1,29,8242.96,6
42,10,1574.08,2
43,3,1837.28,2
44,2,570.96,1
58,3,957.13,1
57,4,1295.3,1
66,2,1266.08,1
42,3,539.0,1
3,1,124.2,1
79,7,11088.41,4
6,9,1844.12,2
51,7,1889.68,2
8,8,2188.03,2
93,5,2129.62,2
19,1,118.98,1
39,3,1445.0,1
9,6,911.26,2
331,1,250.0,0
36,5,1740.48,2
281,1,387.31,0
2,11,1995.62,2
36,5,1198.23,2
61,1,215.83,1
16,2,460.64,1
211,2,1106.4,0
51,2,518.27,1
16,13,4067.67,6
88,2,1604.15,1
74,2,408.63,1
159,1,156.91,0
273,2,1145.6,0
8,3,711.86,1
282,1,348.2,0
76,3,1080.76,1
32,3,403.12,1
10,14,50568.13,6
60,1,200.14,1
311,1,364.6,0
31,6,1080.35,2
179,1,1109.53,0
45,1,121.18,1
57,1,386.32,1
52,3,646.76,1
275,2,618.63,0
5,3,696.83,1
37,1,89.94,1
318,1,157.02,0
71,2,667.65,1
15,6,1403.89,2
52,10,33438.19,4
16,29,7282.65,6
21,3,1179.87,1
289,1,30.19,0
43,5,1957.32,2
5,7,2533.42,2
67,7,3313.79,2
88,5,937.45,1
78,2,1384.85,1
5,5,1019.27,1
100,2,422.24,1
3,29,6457.35,6
58,2,123.13,1
52,5,1643.8,2
163,1,311.65,0
82,1,1043.1,1
18,8,1742.25,2
29,11,1723.71,2
72,4,601.56,1
2,28,10787.39,6
116,3,962.19,1
261,1,456.9,0
41,1,114.11,1
61,3,487.72,1
15,10,1682.13,2
40,5,1380.31,2
241,1,246.04,0
281,2,218.06,0
26,3,1588.39,1
